geo,isco_major,employment_thousands
BE,1,372.3
BG,1,169.1
CZ,1,234.5
DK,1,77.0
DE,1,1891.5
EE,1,77.2
IE,1,185.9
ES,1,770.7
FR,1,1910.7
HR,1,76.2
IT,1,797.6
CY,1,14.9
LV,1,88.6
LT,1,120.7
HU,1,193.3
NL,1,440.1
AT,1,198.5
PL,1,990.7
PT,1,258.1
SI,1,70.3
FI,1,82.0
SE,1,303.3
IS,1,19.1
NO,1,224.3
CH,1,327.8
UK,1,3452.8
ME,1,12.2
RS,1,79.1
BE,2,1175.8
BG,2,506.7
CZ,2,818.9
DK,2,755.0
DE,2,7223.6
EE,2,124.7
IE,2,517.2
ES,2,3406.5
FR,2,4880.8
HR,2,275.9
IT,2,3317.7
CY,2,74.3
LV,2,146.3
LT,2,309.0
HU,2,669.2
NL,2,2269.7
AT,2,848.2
PL,2,3200.6
PT,2,904.2
SI,2,214.9
FI,2,623.1
SE,2,1407.8
IS,2,48.1
NO,2,702.6
CH,2,1170.2
UK,2,7919.2
ME,2,44.0
RS,2,386.3
BE,3,670.6
BG,3,292.3
CZ,3,892.6
DK,3,488.5
DE,3,9266.0
EE,3,84.9
IE,3,253.9
ES,3,2155.7
FR,3,5352.2
HR,3,226.1
IT,3,3982.5
CY,3,50.0
LV,3,120.9
LT,3,128.7
HU,3,643.2
NL,3,1372.8
AT,3,733.2
PL,3,2160.0
PT,3,544.4
SI,3,127.5
FI,3,477.5
SE,3,909.8
IS,3,26.2
NO,3,415.0
CH,3,738.3
UK,3,3963.1
ME,3,28.6
RS,3,327.5
BE,4,541.4
BG,4,190.5
CZ,4,486.3
DK,4,180.6
DE,4,5258.8
EE,4,33.7
IE,4,191.3
ES,4,2002.5
FR,4,2152.3
HR,4,149.1
IT,4,2703.7
CY,4,47.4
LV,4,49.6
LT,4,60.1
HU,4,342.3
NL,4,800.5
AT,4,405.5
PL,4,989.0
PT,4,374.4
SI,4,74.9
FI,4,144.3
SE,4,310.7
IS,4,7.8
NO,4,142.6
CH,4,596.9
UK,4,3042.2
ME,4,20.1
RS,4,220.1
BE,5,625.7
BG,5,646.0
CZ,5,795.5
DK,5,531.9
DE,5,5644.0
EE,5,80.4
IE,5,430.9
ES,5,4180.3
FR,5,4266.3
HR,5,295.4
IT,5,3915.5
CY,5,74.4
LV,5,131.1
LT,5,188.6
HU,5,655.3
NL,5,1593.9
AT,5,760.3
PL,5,2118.6
PT,5,878.1
SI,5,129.9
FI,5,459.7
SE,5,915.9
IS,5,42.5
NO,5,555.4
CH,5,629.6
UK,5,5574.0
ME,5,54.5
RS,5,422.5
BE,6,51.5
BG,6,94.1
CZ,6,64.4
DK,6,42.0
DE,6,506.9
EE,6,7.3
IE,6,68.4
ES,6,441.1
FR,6,768.6
HR,6,57.0
IT,6,473.4
CY,6,4.6
LV,6,28.4
LT,6,58.1
HU,6,131.4
NL,6,148.2
AT,6,138.7
PL,6,1345.2
PT,6,144.3
SI,6,29.0
FI,6,71.7
SE,6,66.3
IS,6,4.9
NO,6,44.3
CH,6,108.5
UK,6,324.3
ME,6,13.5
RS,6,372.8
BE,7,476.9
BG,7,401.4
CZ,7,849.5
DK,7,212.8
DE,7,5050.9
EE,7,85.1
IE,7,201.1
ES,7,2154.9
FR,7,2350.3
HR,7,179.6
IT,7,2935.5
CY,7,42.2
LV,7,109.2
LT,7,189.9
HU,7,656.9
NL,7,659.2
AT,7,551.5
PL,7,2473.4
PT,7,621.3
SI,7,135.1
FI,7,259.9
SE,7,453.9
IS,7,19.6
NO,7,243.4
CH,7,503.0
UK,7,2505.2
ME,7,21.4
RS,7,324.1
BE,8,307.7
BG,8,398.5
CZ,8,715.3
DK,8,142.6
DE,8,2455.7
EE,8,76.1
IE,8,125.8
ES,8,1453.9
FR,8,2008.1
HR,8,157.0
IT,8,1525.7
CY,8,20.7
LV,8,83.1
LT,8,148.7
HU,8,664.3
NL,8,369.8
AT,8,243.1
PL,8,1666.1
PT,8,413.5
SI,8,99.7
FI,8,185.1
SE,8,288.1
IS,8,8.8
NO,8,143.5
CH,8,166.7
UK,8,1497.9
ME,8,16.9
RS,8,285.6
BE,9,452.9
BG,9,347.0
CZ,9,274.2
DK,9,283.0
DE,9,3112.9
EE,9,48.6
IE,9,185.1
ES,9,2460.7
FR,9,2618.6
HR,9,122.2
IT,9,2463.3
CY,9,52.4
LV,9,108.5
LT,9,114.9
HU,9,432.5
NL,9,748.3
AT,9,350.2
PL,9,984.9
PT,9,465.5
SI,9,65.4
FI,9,150.1
SE,9,232.3
IS,9,10.0
NO,9,93.7
CH,9,235.8
UK,9,2664.7
ME,9,18.9
RS,9,252.6
