Variable,M1_Null_coef,M1_Null_se,M1_Null_p,M1_Null_display,M2_L1_coef,M2_L1_se,M2_L1_p,M2_L1_display,M3_L1L2_coef,M3_L1L2_se,M3_L1L2_p,M3_L1L2_display,M4_RS_Income_coef,M4_RS_Income_se,M4_RS_Income_p,M4_RS_Income_display,M5_IncGini_coef,M5_IncGini_se,M5_IncGini_p,M5_IncGini_display,M6_RS_Ideology_coef,M6_RS_Ideology_se,M6_RS_Ideology_p,M6_RS_Ideology_display,M7_IdeoGini_coef,M7_IdeoGini_se,M7_IdeoGini_p,M7_IdeoGini_display
Intercept,3.8957,0.0549,0.0,3.896***,3.8478,0.0484,0.0,3.848***,3.8518,0.0462,0.0,3.852***,3.8533,0.0473,0.0,3.853***,3.8586,0.0461,0.0,3.859***,3.8488,0.0489,0.0,3.849***,3.8532,0.0477,0.0,3.853***
age_c,,,,,0.0024,0.0003,0.0,0.002***,0.0024,0.0003,0.0,0.002***,0.0024,0.0003,0.0,0.002***,0.0024,0.0003,0.0,0.002***,0.0028,0.0003,0.0,0.003***,0.0028,0.0003,0.0,0.003***
education_c,,,,,-0.0089,0.0014,0.0,-0.009***,-0.0089,0.0014,0.0,-0.009***,-0.0092,0.0014,0.0,-0.009***,-0.0092,0.0014,0.0,-0.009***,-0.0094,0.0014,0.0,-0.009***,-0.0094,0.0014,0.0,-0.009***
employed,,,,,0.024,0.0125,0.0554,0.024,0.0242,0.0125,0.0537,0.024,0.0241,0.0125,0.0549,0.024,0.0242,0.0125,0.0534,0.024,0.0258,0.0124,0.0374,0.026*,0.0258,0.0124,0.0376,0.026*
female,,,,,0.082,0.0106,0.0,0.082***,0.082,0.0106,0.0,0.082***,0.0815,0.0106,0.0,0.082***,0.0815,0.0106,0.0,0.081***,0.0775,0.0105,0.0,0.078***,0.0775,0.0105,0.0,0.078***
gdp_per_capita_z,,,,,,,,,-0.051,0.0553,0.3564,-0.051,-0.0402,0.0497,0.4186,-0.040,-0.0402,0.0503,0.424,-0.040,0.0435,0.0587,0.4584,0.044,0.0431,0.0586,0.4622,0.043
gini_z,,,,,,,,,0.063,0.0549,0.2512,0.063,0.0056,0.0554,0.9201,0.006,0.0683,0.0532,0.199,0.068,0.0239,0.0489,0.6255,0.024,0.0821,0.0552,0.1369,0.082
ideology_c,,,,,-0.0836,0.0024,0.0,-0.084***,-0.0835,0.0024,0.0,-0.084***,-0.0834,0.0024,0.0,-0.083***,-0.0834,0.0024,0.0,-0.083***,-0.0811,0.013,0.0,-0.081***,-0.079,0.0121,0.0,-0.079***
ideology_c:gini_z,,,,,,,,,,,,,,,,,,,,,,,,,0.0275,0.0122,0.0243,0.028*
income_c,,,,,-0.0413,0.0022,0.0,-0.041***,-0.0413,0.0022,0.0,-0.041***,-0.0403,0.0044,0.0,-0.040***,-0.0392,0.0038,0.0,-0.039***,-0.0387,0.0021,0.0,-0.039***,-0.0387,0.0021,0.0,-0.039***
income_c:gini_z,,,,,,,,,,,,,,,,,0.0119,0.0038,0.0015,0.012**,,,,,,,,
meritocracy_index_c,,,,,0.1104,0.0079,0.0,0.110***,0.1104,0.0079,0.0,0.110***,0.1083,0.0079,0.0,0.108***,0.1083,0.0079,0.0,0.108***,0.0948,0.0079,0.0,0.095***,0.0948,0.0079,0.0,0.095***
political_trust_c,,,,,-0.025,0.0023,0.0,-0.025***,-0.0249,0.0023,0.0,-0.025***,-0.0247,0.0023,0.0,-0.025***,-0.0247,0.0023,0.0,-0.025***,-0.0273,0.0022,0.0,-0.027***,-0.0273,0.0022,0.0,-0.027***
unemployment_rate_z,,,,,,,,,0.0187,0.0546,0.7325,0.019,0.0268,0.0495,0.5885,0.027,0.0236,0.0499,0.6365,0.024,0.054,0.0482,0.2634,0.054,0.054,0.0482,0.2629,0.054
